2020-11-20,2020-11-21,4
2020-11-21,2020-11-22,4
2020-11-22,2020-11-23,4
2020-11-23,2020-11-24,4
2020-11-24,2020-11-25,4
2020-11-25,2020-11-26,4
2020-11-26,2020-11-27,0
2020-11-27,2020-11-28,6
2020-11-28,2020-11-29,4
2020-11-29,2020-11-30,4
2020-11-30,2020-12-01,4
2020-12-01,2020-12-02,4
2020-12-02,2020-12-03,4
2020-12-03,2020-12-04,4
2020-12-04,2020-12-05,4
2020-12-05,2020-12-06,4
2020-12-06,2020-12-07,4
2020-12-07,2020-12-08,4
2020-12-08,2020-12-09,4
2020-12-09,2020-12-10,4
2020-12-10,2020-12-11,4
2020-12-11,2020-12-12,4
2020-12-12,2020-12-13,4
2020-12-13,2020-12-14,4
2020-12-14,2020-12-15,4
2020-12-15,2020-12-16,4
2020-12-16,2020-12-17,4
2020-12-17,2020-12-18,4
2020-12-18,2020-12-19,4
2020-12-19,2020-12-20,4
2020-12-20,2020-12-21,4
2020-12-21,2020-12-22,4
2020-12-22,2020-12-23,4
2020-12-23,2020-12-24,4
2020-12-24,2020-12-25,4
2020-12-25,2020-12-26,4
2020-12-26,2020-12-27,4
2020-12-27,2020-12-28,4
2020-12-28,2020-12-29,4
2020-12-29,2020-12-30,4
2020-12-30,2020-12-31,4
2020-12-31,2021-01-01,4
2021-01-01,2021-01-02,4
2021-01-02,2021-01-03,4
2021-01-03,2021-01-04,4
2021-01-04,2021-01-05,4
2021-01-05,2021-01-06,0
2021-01-06,2021-01-07,0
2021-01-07,2021-01-08,0
2021-01-08,2021-01-09,0
2021-01-09,2021-01-10,0
2021-01-10,2021-01-11,14
2021-01-11,2021-01-12,4
2021-01-12,2021-01-13,4
2021-01-13,2021-01-14,4
2021-01-14,2021-01-15,4
2021-01-15,2021-01-16,4
2021-01-16,2021-01-17,4
2021-01-17,2021-01-18,4
2021-01-18,2021-01-19,4
2021-01-19,2021-01-20,4
2021-01-20,2021-01-21,4
2021-01-21,2021-01-22,4
2021-01-22,2021-01-23,4
2021-01-23,2021-01-24,4
2021-01-24,2021-01-25,4
2021-01-25,2021-01-26,4
2021-01-26,2021-01-27,4
2021-01-27,2021-01-28,4
2021-01-28,2021-01-29,4
2021-01-29,2021-01-30,4
2021-01-30,2021-01-31,4
2021-01-31,2021-02-01,4
2021-02-01,2021-02-02,4
2021-02-02,2021-02-03,4
2021-02-03,2021-02-04,4
2021-02-04,2021-02-05,4
2021-02-05,2021-02-06,4
2021-02-06,2021-02-07,4
2021-02-07,2021-02-08,4
2021-02-08,2021-02-09,4
2021-02-09,2021-02-10,4
2021-02-10,2021-02-11,4
2021-02-11,2021-02-12,4
2021-02-12,2021-02-13,4
2021-02-13,2021-02-14,4
2021-02-14,2021-02-15,4
2021-02-15,2021-02-16,4
2021-02-16,2021-02-17,4
2021-02-17,2021-02-18,4
2021-02-18,2021-02-19,4
2021-02-19,2021-02-20,4
2021-02-20,2021-02-21,4
2021-02-21,2021-02-22,4
2021-02-22,2021-02-23,4
2021-02-23,2021-02-24,4
2021-02-24,2021-02-25,4
2021-02-25,2021-02-26,4
2021-02-26,2021-02-27,4
2021-02-27,2021-02-28,4
2021-02-28,2021-03-01,4
2021-03-01,2021-03-02,4
2021-03-02,2021-03-03,4
2021-03-03,2021-03-04,4
2021-03-04,2021-03-05,4
2021-03-05,2021-03-06,4
2021-03-06,2021-03-07,4
2021-03-07,2021-03-08,4
2021-03-08,2021-03-09,4
2021-03-09,2021-03-10,4
2021-03-10,2021-03-11,4
2021-03-11,2021-03-12,4
2021-03-12,2021-03-13,4
2021-03-13,2021-03-14,4
2021-03-14,2021-03-15,4
2021-03-15,2021-03-16,4
2021-03-16,2021-03-17,4
2021-03-17,2021-03-18,4
2021-03-18,2021-03-19,4
2021-03-19,2021-03-20,4
2021-03-20,2021-03-21,4
2021-03-21,2021-03-22,4
2021-03-22,2021-03-23,4
2021-03-23,2021-03-24,4
2021-03-24,2021-03-25,4
2021-03-25,2021-03-26,4
2021-03-26,2021-03-27,0
2021-03-27,2021-03-28,6
2021-03-28,2021-03-29,4
2021-03-29,2021-03-30,4
2021-03-30,2021-03-31,4
2021-03-31,2021-04-01,4
2021-04-01,2021-04-02,4
2021-04-02,2021-04-03,4
2021-04-03,2021-04-04,4
2021-04-04,2021-04-05,4
2021-04-05,2021-04-06,4
2021-04-06,2021-04-07,4
2021-04-07,2021-04-08,4
2021-04-08,2021-04-09,4
2021-04-09,2021-04-10,4
2021-04-10,2021-04-11,4
2021-04-11,2021-04-12,4
2021-04-12,2021-04-13,4
2021-04-13,2021-04-14,4
2021-04-14,2021-04-15,4
2021-04-15,2021-04-16,4
2021-04-16,2021-04-17,4
2021-04-17,2021-04-18,4
2021-04-18,2021-04-19,4
2021-04-19,2021-04-20,4
2021-04-20,2021-04-21,567
2021-04-21,2021-04-22,4
2021-04-22,2021-04-23,4
2021-04-23,2021-04-24,4
2021-04-24,2021-04-25,4
2021-04-25,2021-04-26,4
2021-04-26,2021-04-27,4
2021-04-27,2021-04-28,4
2021-04-28,2021-04-29,4
2021-04-29,2021-04-30,4
2021-04-30,2021-05-01,4
2021-05-01,2021-05-02,4
2021-05-02,2021-05-03,4
2021-05-03,2021-05-04,4
2021-05-04,2021-05-05,4
2021-05-05,2021-05-06,4
2021-05-06,2021-05-07,4
